"10K: DC negative bus backup voltage 5/6K: Secondary bus 2";"10K: جهد النسخ الاحتياطي للحافلة السالبة CC 5/6K: الحافلة الثانوية 2"
"10K: DC positive bus backup voltage 5/6K: Secondary bus 1";"10K: جهد النسخ الاحتياطي للحافلة الإيجابية 5/6K: الحافلة الثانوية 1"
"AC coupled PV source selection";"تحديد مصدر الطاقة الشمسية المرتبطة بالتيار المتردد"
"AC side operation mode";"وضع التشغيل الجانبي المتردد"
"AC side running status";"حالة تشغيل الجانب المتردد"
"AC side self-test steps";"خطوات الاختبار الذاتي للجانب المتردد"
"AH value of lead-acid battery";"قيمة أمبير البطارية الرصاصية"
"anti-backflow function";"وظيفة مضادة للتدفق العكسي"
"backup active power";"طاقة نشطة احتياطية"
"backup apparent power";"طاقة ظاهرة احتياطية"
"Backup load power supply sequence";"تسلسل توريد الطاقة للحمل الاحتياطي"
"backup output function";"وظيفة الإخراج الاحتياطية"
"backup phase A current";"تيار المرحلة الاحتياطية أ"
"backup phase A voltage";"جهد المرحلة الاحتياطية أ"
"backup phase B current";"تيار المرحلة الاحتياطية ب"
"backup phase B voltage";"جهد المرحلة الاحتياطية ب"
"backup phase C current";"تيار المرحلة الاحتياطية ج"
"backup phase C voltage";"جهد المرحلة الاحتياطية ج"
"backup power factor";"عامل القدرة الاحتياطية"
"backup reactive power";"طاقة القدرة الاحتياطية"
"backup voltage frequency";"تردد الجهد الاحتياطي"
"battery activated";"تنشيط البطارية"
"Battery charging and discharging (command mode takes effect)";"شحن وتفريغ البطارية (يأخذ الوضع الأمري)"
"Battery charging and discharging power (command mode is valid)";"طاقة شحن وتفريغ البطارية (الوضع الأمري ساري المفعول)"
"Battery charging on the day";"شحن البطارية خلال النهار"
"Battery communication connection status";"حالة الاتصال بالبطارية"
"Battery communication protocol selection";"اختيار بروتوكول الاتصال بالبطارية"
"battery current";"تيار البطارية"
"battery current 1";"تيار البطارية 1"
"battery current 2";"تيار البطارية 2"
"battery discharge on the day";"تفريغ البطارية خلال النهار"
"battery error";"خطأ البطارية"
"Battery manufacturer number (code list)";"رقم مصنع البطارية (قائمة الرموز)"
"battery max charging current";"أقصى تيار شحن للبطارية"
"battery max discharging current";"أقصى تيار تفريغ للبطارية"
"Battery power manual limiter";"محدد طاقة البطارية اليدوي"
"battery pressure";"ضغط البطارية"
"battery soc";"شحن البطارية (SOC)"
"battery soh";"صحة البطارية (SOH)"
"battery status";"حالة البطارية"
"battery temperature";"حرارة البطارية"
"battery voltage";"جهد البطارية"
"battery voltage lower limit";"الحد الأدنى لجهد البطارية"
"battery voltage upper limit";"الحد الأعلى لجهد البطارية"
"battery warning";"تحذير البطارية"
"battery warning 0";"تحذير البطارية 0"
"bms connection status";"حالة الاتصال بنظام إدارة البطارية"
"character";"حرف"
"Charge and discharge status";"حالة الشحن والتفريغ"
"charge cut-off voltage";"جهد قطع الشحن"
"Charge/discharge times";"أوقات الشحن/التفريغ"
"Charging power limit";"حد الطاقة للشحن"
"Comprehensive battery warning 1";"تحذير البطارية الشامل 1"
"DAY";"يوم"
"DC bilateral bus voltage";"جهد الحافلة ثنائي الاتجاه CC"
"DC negative bus voltage";"جهد الحافلة السالبة CC"
"DC positive bus voltage";"جهد الحافلة الإيجابية CC"
"DC power";"الطاقة المستمرة"
"DC side battery type";"نوع بطارية الجانب المستمر"
"DC side running status";"حالة التشغيل الجانبية المستمرة"
"DC side self-test steps";"خطوات الاختبار الذاتي للجانب المستمر"
"device type code";"رمز نوع الجهاز"
"discharge cut-off voltage";"جهد قطع التفريغ"
"DRM0";"DRM0"
"DRM1";"DRM1"
"DRM2";"DRM2"
"DRM3";"DRM3"
"DRM4";"DRM4"
"DRM5";"DRM5"
"DRM6";"DRM6"
"DRM7";"DRM7"
"DRM8";"DRM8"
"End Time";"وقت النهاية"
"engine rated power";"طاقة المحرك المقدرة"
"Fault status word 0";"كلمة حالة الخلل 0"
"Fault status word 1";"كلمة حالة الخلل 1"
"Fault status word 2";"كلمة حالة الخلل 2"
"Fault status word 3";"كلمة حالة الخلل 3"
"Fault status word 4";"كلمة حالة الخلل 4"
"Fixed content 0000";"محتوى ثابت 0000"
"Fixed content in bin";"محتوى ثابت في ثنائي"
"Relay self-test enable";"تمكين اختبار الريلاي"
"remote load";"حمل عن بعد"
"reserve";"احتياطي"
"Reserve 20 control commands";"أوامر التحكم المحجوزة 20"
"reserved fields";"حقول محجوزة"
"Reserve ten control commands";"أوامر التحكم المحجوزة عشرة"
"Reset";"إعادة تعيين"
"Router PASSWORD";"اسم النقطة"
"router SSID";"SSID لجهاز التوجيه"
"Save money on electricity today";"حفظ المال في الكهرباء اليوم"
"SECOND";"ثانية"
"server IP";"عنوان IP للخادم"
"server port number";"رقم منفذ الخادم"
"shadow scan";"فحص الظل"
"Single/Parallel logo";"شعار فردي/متوازي"
"Single parallel machine sign";"إشارة الجهاز المتوازي الفردي"
"start time";"وقت البدء"
"Subsequent setting of the number of registers (maximum 10)";"خطوات الإعداد اللاحقة لعدد السجلات (حتى 10)"
"The grid buys electricity on the same day";"الشبكة تشتري الكهرباء في نفس اليوم"
"The high digit of the software version number";"الرقم العالي من رقم إصدار البرنامج"
"The lower digit of the software version number";"الرقم الأدنى لرقم إصدار البرنامج"
"The number of registers to be queried (up to 10)";"عدد السجلات المراد استعلامها (تصل إلى 10)"
"Three-phase unbalanced output";"إخراج غير متوازن ثلاثي الأطوار"
"Total battery charging current (parallel data)";"التيار الإجمالي لشحن البطارية (بيانات متوازية)"
"Total battery current (parallel data)";"التيار الإجمالي للبطارية (بيانات متوازية)"
"Total battery discharge current (parallel data)";"التيار الإجمالي لتفريغ البطارية (بيانات متوازية)"
"Total battery power (parallel data)";"الطاقة الكلية للبطارية (بيانات متوازية)"
"total daily battery charge";"إجمالي شحن البطارية اليومي"
"total daily battery discharge";"إجمالي تفريغ البطارية اليومي"
"total grid electricity purchase";"إجمالي شراء الكهرباء من الشبكة"
"Total load power consumption";"إجمالي استهلاك طاقة الحمل"
"Total photovoltaic power generation";"إجمالي توليد الطاقة الشمسية"
"total savings on electricity bills";"إجمالي التوفير في فواتير الكهرباء"
"Twenty control commands are reserved";"تم حجز عشرين أمر تحكم"
"unit electricity price (flat)";"سعر الكهرباء للوحدة (مسطح)"
"unit electricity price (peak)";"سعر الكهرباء للوحدة (ذروة)"
"unit electricity price (tip)";"سعر الكهرباء للوحدة (نصيحة)"
"unit electricity price (valley)";"سعر الكهرباء للوحدة (وادي)"
"Upgraded application CRC";"ترقية تطبيق CRC"
"Upgraded Application Length";"طول التطبيق المُرقَّى"
"upgrade result";"نتيجة الترقية"
"Whether bypass mode is enabled";"ما إذا تم تمكين وضع التجاوز"
"Whether the battery voltage can be set";"ما إذا كان بإمكان تعيين جهد البطارية"
"Whether to charge (flat) when SOC<10";"هل يتم الشحن (مسطح) عند SOC<10"
"Whether to charge (peak) when SOC<10";"هل يتم الشحن (ذروة) عند SOC<10"
"Whether to charge (tip) when SOC<10";"هل يتم الشحن (نصيحة) عند SOC<10"
"Whether to charge (valley) when SOC<10";"هل يتم الشحن (وادي) عند SOC<10"
"Whether to discharge (peak) when SOC>20";"هل يتم التفريغ (ذروة) عند SOC>20"
"Whether to discharge (tip) when SOC>20";"هل يتم التفريغ (نصيحة) عند SOC>20"
"Whether to discharge (valley) when SOC>20";"هل يتم التفريغ (وادي) عند SOC>20"
"Whether to discharge when SOC>20 (flat)";"هل يتم التفريغ عند SOC>20 (مسطح)"
"Whether to enable forced charging";"هل يتم تمكين الشحن القسري"
"Whether to enable forced discharge";"هل يتم تمكين التفريغ القسري"
"Whether to enable Friday";"هل يتم تمكين الجمعة"
"Whether to enable Monday";"هل يتم تمكين الاثنين"
"Whether to enable Saturday";"هل يتم تمكين السبت"
"Whether to enable Sunday";"هل يتم تمكين الأحد"
"Whether to enable Thursday";"هل يتم تمكين الخميس"
"Whether to enable Tuesday";"هل يتم تمكين الثلاثاء"
"Whether to enable Wednesday";"هل يتم تمكين الأربعاء"
"WifiOperating mode";"وضع التشغيل عبر الواي فاي"
"work efficiency";"كفاءة العمل"
"YEAR";"سنة"
